Question,Answer,Difficulty Level,Count,Keyword
What is file compression?,"File compression is the process of reducing the size of a file or data by removing redundant or unnecessary information, making it easier to store or transfer.",Easy,4,"file compression, data reduction, file size, data transfer, storage, redundancy"
What is a system boot process?,"The system boot process is the series of steps that a computer follows to start up and prepare itself to run its operating system, applications, and perform other tasks. It begins with the power",Medium,1,"system boot, process, startup, power"
What is a symbolic link in a file system?,"A symbolic link, also known as a symlink, is a file that contains a reference to another file or directory in a file system. When a program or user tries to access the symbolic link, the operating system follows the link and treats it as if it were the file or directory it references.",Easy,4,"symbolic link, symlink, file system, reference, operating system"
What is a multi-core processor in the context of an operating system?,A multi,Medium,1,multi
What is a block in the context of file systems?,"A block in the context of file systems is a unit of data that is read or written consecutively on a storage device, such as a hard disk or solid",Easy,4,"file system, block size, storage device, hard disk, solid"
What is an inode in the Unix file system?,"An inode is a data structure in the Unix file system that represents a file or directory. It contains metadata such as the file's ownership, permissions, and location on the disk.",Medium,4,"Unix, file system, inode, metadata, file structure, disk organization"
What is a kernel module?,A kernel module is a small program that extends the functionality of the Linux kernel. It is loaded into the kernel's memory space and provides a specific function or service to the operating system.,Medium,1,"kernel module, Linux, kernel, program, functionality, operating system, memory space"
What is a real-time clock in an operating system?,A real,Easy,4,Real
What is the command line interface (CLI)?,A command,Easy,4,command
What is a hypervisor in the context of virtual machines?,A hypervisor is a layer of software that creates and manages virtual machines (VMs) by providing a virtualized environment for the VMs to run on top of a physical host machine.,Easy,4,"virtual machine, hypervisor, virtualization, software, physical host machine"
What is time-sharing in an operating system?,Time,Medium,1,"Operating System, Time"
What is a file control block?,"A file control block is a data structure used by the operating system to manage file operations such as creating, reading, writing, and deleting files. It contains information about the file, including its name, location, permissions, and other metadata.",Medium,1,"file control block, operating system, file management, data structure, metadata, file operations"
What is a disk partition?,A disk partition is a way to divide a hard drive or solid,Easy,4,"disk partition, hard drive, solid"
What is a deadlock detection algorithm?,A deadlock detection algorithm is a method used to identify and resolve deadlocks in a system. It detects the cycles of waiting processes and identifies the resources involved in the deadlock.,Medium,1,"deadlock, detection, algorithm, cycle detection, resource allocation, concurrent systems"
What is a long-term scheduler?,A long,Medium,1,"operating system, scheduler, long"
What is short-term scheduling?,Short,Medium,1,Short
What is deadlock in an operating system?,"Deadlock is a situation in an operating system where two or more processes are blocked indefinitely, each waiting for the other to release a resource.",Medium,0,"operating system, deadlock, process, resource, synchronization, blocking, indefinite waiting"
What is a kernel?,A kernel is the central part of an operating system (OS) that manages hardware resources and provides common services to computer programs.,Medium,1,"operating system, kernel, central part, hardware resources, computer programs, OS"
What is a distributed operating system?,"A distributed operating system is a type of operating system that allows multiple computers or nodes to work together as a single system, allowing for resource sharing, load balancing, and improved processing power.",Medium,1,"Distributed Operating System, Node, Resource Sharing, Load Balancing, Multi"
What is memory-mapped I/O?,Memory,Medium,1,memory
What is context switching in a process?,"Context switching is the process of a CPU switching its attention from one process to another, saving the current state of the process and restoring the state of the previously running process.",Medium,0,"context switching, CPU, process, state, saving, restoring"
What is a process control block?,"A process control block (PCB) is a data structure that stores all the information about a process that is being executed by the operating system, including its process ID, open files, memory management, and current state.",Medium,0,"Process Control Block, PCB, Operating System, Data Structure, Process ID, Memory Management, File Handling"
What is a block device?,A block device is a type of computer input/output (I/O) device that allows data to be read and written in fixed,Medium,4,"block device, I/O device, computer, data, block"
What is a swap space?,"A swap space, also known as page file in Windows, is a reserved area on a hard drive or SSD that is used by the operating system when the physical RAM (Random Access Memory) is full or near capacity. It temporarily holds data that would normally be stored in RAM, allowing the system to function even when there isn't enough physical memory available.",Medium,4,"swap space, page file, RAM, physical memory, hard drive, SSD"
What is a real-time operating system?,A real,Medium,1,real
What is resource allocation in the context of an operating system?,"In the context of an operating system, resource allocation refers to the process of assigning and managing computer resources, such as CPU time, memory, and input/output devices, to programs and processes.",Medium,1,"resource allocation, operating system, CPU time, memory, input/output devices, resource management, process management."
What is memory allocation in an operating system?,"Memory allocation in an operating system is the process of dividing the computer's memory into smaller parts and assigning them to running programs, allowing multiple programs to share the same physical memory while keeping their own address spaces separate.",Medium,1,"memory allocation, operating system, memory management, memory division, program execution"
What is the difference between a file system and a database system?,"A file system is a way to organize and store files on a computer, whereas a database system is a way to store, manage, and retrieve data in a structured and organized manner. In a file system, files are typically stored as",Medium,1,"File System, Database System, File Organization, Data Storage, Data Management, Querying, Manipulation"
What is a thread pool?,"A thread pool is a group of worker threads that are managed by a thread pool manager. The manager assigns requests or tasks to idle threads in the pool, allowing for efficient and scalable handling of concurrent tasks.",Medium,2,"thread pool, worker threads, thread pool manager, pool, concurrent tasks, scalability"
What is a kernel module?,"A kernel module is a software component that extends the functionality of the Linux kernel, adding new features or improving existing ones. It is a loadable module that can be dynamically loaded or unloaded from the kernel at runtime.",Medium,1,"kernel, module, Linux, kernel extension, loadable module"
What is file journaling?,"File journaling is a technique used by the operating system where it logs every change made to files, including the name, path, and timestamp of the changes. This helps in recovering files in case of system crashes, disk errors, or corruption.",Medium,4,"file journaling, logging, operating system, file changes, recovery, system crashes, disk errors, corruption."
What is a file system cache?,"A file system cache is a region of a computer's memory that stores frequently used files, allowing for faster access to data by reducing the need to read from slower storage devices.",Medium,4,"file system cache, computer memory, storage devices, read, write"
What is an operating system boot sequence?,An operating system boot sequence is the ordered series of steps that a computer's central processing unit (CPU) follows to load and start an operating system (OS) after a power,Medium,0,"operating system, boot sequence, CPU, power"
What is a hypervisor in the context of virtual machines?,"A hypervisor, also known as a virtual machine monitor (VMM), is a piece of software that creates and manages virtual machines (VMs) on a physical host machine.",Easy,4,"hypervisor, virtual machines, virtual machine monitor, VMM, computing, software, physical host machine"
What is process synchronization?,Process synchronization is a technique used in computer programming to coordinate the actions of multiple processes to ensure that they operate correctly and efficiently in a concurrent environment.,Medium,1,"Process synchronization, concurrency, multithreading, locking, semaphores, monitors, critical section, synchronization algorithms."
What is a deadlock detection algorithm?,"A deadlock detection algorithm is a method used to identify and detect deadlocks in a system or process. It checks for the conditions that can lead to a deadlock, such as two or more processes waiting for each other to release resources.",Medium,1,"deadlock, detection, algorithm, system, process, resources, waiting"
What is kernel threading?,"Kernel threading is a type of threading that involves creating a new process or thread at the kernel level, allowing the operating system to manage the scheduling and synchronization of threads.",Medium,1,"kernel threading, threading, process, thread, kernel, operating system, scheduling"
What is a file system hierarchy?,A file system hierarchy is a way of organizing files and directories in a tree,Easy,4,"file system, hierarchy, root directory, directory structure, computer organization"
What is file descriptor management?,"File descriptor management refers to the process of creating, using, and closing file descriptors in a program. This involves allocating, deallocating, and managing the use of file descriptors to interact with files on a file system.",Medium,1,"file descriptor, file management, file system, process management, operating system."
What is fragmentation in memory management?,"Fragmentation in memory management refers to the phenomenon where free memory spaces in a memory become fragmented into small, non",Medium,1,"Memory Management, Fragmentation, Free Memory, Contiguous Blocks, Non"
What is deadlock detection?,"Deadlock detection is a process that identifies and resolves deadlocks in a system, which occur when two or more processes are blocked indefinitely, each waiting for the other to release a resource.",Medium,1,"deadlock, detection, system, process, resource, blocking, indefinite, waiting"
What is a deadlock avoidance algorithm?,"A deadlock avoidance algorithm is a method used to prevent deadlocks in a computer system by ensuring that if a process transitions from the waiting state to the running state, it will not request a resource that is currently held by another process that is also waiting for a resource.",Medium,2,"deadlock, avoidance, algorithm, process, resource, waiting, running, system"
What is a swap space?,Swap space is a reserved space on a hard drive where the operating system temporarily moves some or all of its memory (RAM) when it runs low on physical RAM.,Medium,4,"swap space, operating system, memory, RAM, hard drive, temporary, reserved space"
What is file compression?,"File compression is the process of reducing the size of a file or folder to reduce its storage space requirements, allowing for faster transmission and downloading.",Easy,4,"File compression, data reduction, storage space, transfer speed."
What is an interrupt handler?,"An interrupt handler is a piece of code that is executed when an interrupt occurs, which is a signal sent to a computer by a hardware device or a timer. The interrupt handler is responsible for handling the interrupt and restoring the system to a stable state.",Medium,3,"interrupt, handler, code, interrupt handler, hardware device, timer, signal, computer, system, stable state"
What is the purpose of a bootloader in an operating system?,A bootloader in an operating system is responsible for loading the operating system's kernel into memory and initializing it for execution.,Easy,3,"Bootloader, operating system, kernel, loading, initialization, memory, execution"
What is a virtual file system?,A virtual file system is a software layer that provides a file system interface to access and manage data that is stored in a non,Medium,4,"virtual file system, file system, software layer, non"
What is an inode in the Unix file system?,"An inode is a data structure in the Unix file system that stores metadata about a file, including its permissions, ownership, size, and location on the disk.",Medium,4,"Unix, file system, inode, metadata, permissions, ownership, size, disk location"
What is a zombie process?,"A zombie process is a process that has terminated, but its parent process has not yet acknowledged its completion, leaving it in a futile state.",Easy,4,"zombie process, parent process, process termination, system resources, operating system"
What is file journaling?,"File journaling is a feature in operating systems that keeps a log of changes made to files on a system, including deletions, modifications, and access. This log can be used for data recovery, auditing, and troubleshooting purposes.",Medium,4,"file journaling, operating system, file system, log, data recovery, auditing, troubleshooting, file changes"
What is a file access control list (ACL)?,A file access control list (ACL) is a mechanism that allows a system administrator to set permissions for users or groups to access and modify files and directories on a computer or network.,Medium,1,"file, access, control, list, ACL, permission, users, groups, computer, network"
What is a terminal emulator?,"A terminal emulator is a program that enables users to interact with the operating system using commands, much like a physical terminal. It provides a text",Easy,3,"terminal emulator, program, operating system, commands, text"
What is a file control block?,"A file control block (FCB) is a data structure used in operating systems to describe the characteristics and location of a file on a storage device, such as a hard disk or diskette. It contains information about the file, such as its name, size, starting block, and protection status.",Medium,1,"file control block, data structure, operating system, file characteristics, storage device."
What is memory protection?,"Memory protection is a mechanism used to prevent unauthorized access to and manipulation of an operating system's memory. It helps prevent malicious code, such as viruses and Trojans, from accessing sensitive areas of the computer's memory.",Easy,4,"memory protection, operating system, memory access, security, protection, unauthorized access"
